Disease,Method,AUC,ROC_AUC,PR_AUC,F1@500
C0860207_Drug-Induced_Liver_Disease,RWR,0.5327402169515039,0.5327402169515039,0.007955826478756024,0.01589825119236884
C0860207_Drug-Induced_Liver_Disease,XG-PUL,0.7437352074352164,0.7437352074352164,0.02299556234447281,0.05723370429252782
C3714756_Intellectual_Disability,XGDAG - GNNExplainer,0.5691904967030054,0.5691904967030054,0.15801499134533536,0.08262108262108263
C3714756_Intellectual_Disability,XGDAG - GraphSVX,0.5704868359528885,0.5704868359528885,0.15840942967810528,0.08547008547008547
C3714756_Intellectual_Disability,DIAMOnD,0.5371927843323724,0.5371927843323724,0.17428005553582326,0.07217473884140552
C3714756_Intellectual_Disability,MCL,0.5944817224412486,0.5944817224412486,0.13568032931933166,0.07787274453941122
C3714756_Intellectual_Disability,RWR,0.589967645589927,0.589967645589927,0.11010272181545275,0.059829059829059825
C3714756_Intellectual_Disability,XG-PUL,0.6904390112168048,0.6904390112168048,0.21199839553649585,0.17568850902184235
C0005586_Bipolar_Disorder,XGDAG - GNNExplainer,0.5429211056765535,0.5429211056765535,0.0632228711680584,0.05962059620596206
C0005586_Bipolar_Disorder,XGDAG - GraphSVX,0.5425396760195175,0.5425396760195175,0.06345552829430076,0.05962059620596206
C0005586_Bipolar_Disorder,DIAMOnD,0.6430119746617,0.6430119746617,0.09086424362345964,0.05420054200542005
C0005586_Bipolar_Disorder,MCL,0.7811601150527325,0.7811601150527325,0.13519594370942975,0.025293586269196026
C0005586_Bipolar_Disorder,RWR,0.5435548887354846,0.5435548887354846,0.03829781574701641,0.04516711833785004
C0005586_Bipolar_Disorder,XG-PUL,0.6573032066260064,0.6573032066260064,0.08286339560017794,0.14814814814814814
